filter_variant,model,max_epochs,min_epochs,epochs_trained,best_epoch,early_stopping_patience,accuracy,precision,recall,f1,threshold,tp,fp,tn,fn,single_sequence_ms,batch_per_sequence_ms,train_seconds,parameter_count
baseline,rnn,30,15,23,18,5,0.7326067585166907,0.593741027849555,0.7943153447282504,0.6795366795366795,0.63,4136,2830,6552,1071,0.2271999983349815,0.011582969142409638,43.24105504201725,13505
baseline,gru,30,15,28,23,5,0.7950510658715471,0.6630386821591411,0.8657576339542923,0.7509578544061302,0.7899999999999999,4508,2291,7091,699,0.5678854475263506,0.03791641845793947,137.6736165410257,40129
baseline,lstm,30,15,17,12,5,0.7675646034683665,0.6325934579439252,0.8319569809871327,0.7187059311489009,0.74,4332,2516,6866,875,0.576883350731805,0.043218029784952705,101.41380724997725,53441
baseline,transformer,30,15,24,19,5,0.8131468914935911,0.6895339954163484,0.8667178797772229,0.7680394826412525,0.8999999999999999,4513,2032,7350,694,0.29272079991642386,0.03774656572375079,271.4802096670028,67969
baseline,cnn1d,30,15,17,12,5,0.8344643224347111,0.7164341085271317,0.8874591895525255,0.7928283434846015,0.84,4621,1829,7553,586,0.3473332995781675,0.21379962363141658,387.3494232080411,107777
baseline,cnn_lstm,30,15,16,11,5,0.7868942353828227,0.6687037632679318,0.7985404263491453,0.7278774617067834,0.8099999999999999,4158,2060,7322,1049,0.711441648309119,0.0919740254886392,201.92144904099405,77025
median3,rnn,30,15,16,11,5,0.6988141750634039,0.5600531836312601,0.7280583829460342,0.6330995323981295,0.69,3791,2978,6404,1416,0.22131875157356262,0.011773539210935269,29.614568958000746,13505
median3,gru,30,15,23,18,5,0.7801083007745562,0.6388773099902737,0.8830420587670443,0.7413737504030957,0.6399999999999999,4598,2599,6783,609,0.5433895508758724,0.0362369486794023,112.96095858397894,40129
median3,lstm,30,15,15,10,5,0.7555692645143601,0.6231427285006754,0.7973881313616286,0.6995787700084247,0.83,4152,2511,6871,1055,0.5589312495430931,0.0442439880373513,89.62390549998963,53441
median3,transformer,30,15,17,12,5,0.8006031941874014,0.6764976958525346,0.8457845208373344,0.7517282580865411,0.83,4404,2106,7276,803,0.28879999881610274,0.03988217773382985,193.2322898330167,67969
median3,cnn1d,30,15,22,17,5,0.7934745356090205,0.665210843373494,0.8482811599769541,0.7456740102979657,0.8799999999999999,4417,2223,7159,790,0.3285999991931021,0.20790740766472027,503.38308929197956,107777
median3,cnn_lstm,30,15,16,11,5,0.8029337171841798,0.6673844387022682,0.8928365661609372,0.7638215723322107,0.3999999999999999,4649,2317,7065,558,0.7117103989003226,0.09301389160327744,203.670105416968,77025
ema030,rnn,30,15,20,15,5,0.7150592912468298,0.5692064329027156,0.8292682926829268,0.6750566716172907,0.4599999999999999,4318,3268,6114,889,0.23220415168907493,0.014216105128639356,36.94416487502167,13505
ema030,gru,30,15,16,11,5,0.7674960586743437,0.6278349063248345,0.8559631265603994,0.7243620997887211,0.7799999999999999,4457,2642,6740,750,0.5558645993005484,0.03500792031445599,78.80527354200603,40129
ema030,lstm,30,15,15,10,5,0.76859277537871,0.6317455749028638,0.8430958325331285,0.7222770648239553,0.7699999999999999,4390,2559,6823,817,0.5585041508311406,0.03921609291808181,89.5895172089804,53441
ema030,transformer,30,15,16,11,5,0.7559119884844746,0.6086612094005809,0.885346648742078,0.7213833033408966,0.5499999999999999,4610,2964,6418,597,0.29113125056028366,0.0366391214839723,181.83301808300894,67969
ema030,cnn1d,30,15,18,13,5,0.7945712523133868,0.6554149085794655,0.8949491069713846,0.756677762442153,0.71,4660,2450,6932,547,0.3238708508433774,0.2094322998033249,410.2012236250448,107777
ema030,cnn_lstm,30,15,16,11,5,0.7973130440743026,0.6590330788804071,0.8953332053005569,0.7592215617620715,0.58,4662,2412,6970,545,0.7123354502255097,0.09249579877916858,203.81461791699985,77025
median3_ema030,rnn,30,15,15,10,5,0.7315785866063472,0.601573564122738,0.7342039562127904,0.6613042726171943,0.6699999999999999,3823,2532,6850,1384,0.23939165112096816,0.013712571191604184,28.27078712498769,13505
median3_ema030,gru,30,15,16,11,5,0.7683185962026184,0.6274947662247035,0.8634530439792587,0.7268024571613321,0.7499999999999999,4496,2669,6713,711,0.5662416515406221,0.04020804848607895,79.5906667499803,40129
median3_ema030,lstm,30,15,15,10,5,0.7722256494619234,0.6475563909774437,0.7939312463990782,0.7133120524544907,0.84,4134,2250,7132,1073,0.57363125088159,0.04301388754868185,90.37496866594302,53441
median3_ema030,transformer,30,15,17,12,5,0.7933374460209747,0.6554169030062393,0.8876512387171116,0.7540582429235664,0.8099999999999999,4622,2430,6952,585,0.30179164896253496,0.038168581104969235,194.61104645801242,67969
median3_ema030,cnn1d,30,15,18,13,5,0.7881280416752348,0.6501135073779796,0.8799692721336663,0.7477764177886578,0.73,4582,2466,6916,625,0.31621045200154185,0.1960069234371531,414.3705800420139,107777
median3_ema030,cnn_lstm,30,15,28,23,5,0.8401535403386113,0.7274165480145547,0.8830420587670443,0.7977099236641222,0.71,4598,1723,7659,609,0.7031416491372511,0.08467254233437416,350.53726158401696,77025
